,Company,Symbol,Industry
66,NEONODE INC,NEON,Technology
67,NEWSMAX INC,NMAX,Consumer Discretionary
68,NEXXEN INTERNATIONAL,NEXN,Consumer Discretionary
69,NORTHPOINTE BANCSHARES,NPB,Financials
70,NUVECTIS PHARMA,NVCT,Health Care
71,OKLO,OKLO,Utilities
72,OPAL FUELS INC (A),OPAL,Energy
73,ORUKA THERAPEUTICS INC,ORKA,Health Care
74,PALLADYNE AI CORP (A),PDYN,Industrials
75,PATRIOT NATIONAL BANCORP,PNBK,Financials
76,PERSONALIS INC,PSNL,Health Care
77,PRO-DEX INC,PDEX,Health Care
78,PROTARA THERAPEUTICS INC,TARA,Health Care
79,QXO INC,QXO,Industrials
80,RED CAT HOLDINGS,RCAT,Consumer Discretionary
81,RESTAURANT BRANDS INTERN,QSR,Consumer Discretionary
82,REZOLVE AI,RZLV,Technology
83,RICHMOND MUTUAL BANCORP,RMBI,Financials
84,RITHM PROPERTY TRUST INC,RPT,Financials
85,RUBRIK INC,RBRK,Technology
86,SAILPOINT,SAIL,Technology
87,SANUWAVE HEALTH,SNWV,Health Care
88,SB FINL GROUP INC,SBFG,Financials
89,SECURITY NATL FINL CORP,SNFCA,Financials
90,SERVE ROBOTICS,SERV,Technology
91,SILA REALTY TRUST,SILA,Real Estate
92,SKILLSOFT CORP (A),SKIL,Industrials
93,SMARTSTOP SELF STORAGE R,SMA,Real Estate
94,SOUND FINL BANCORP INC,SFBC,Financials
95,SR BANCORP INC,SRBK,Financials
96,SUMMIT MIDSTREAM CORP,SMC,Energy
97,TALEN ENERGY CORP,TLN,Utilities
98,TEMPUS AI,TEM,Health Care
99,TITAN AMERICA SA,TTAM,Industrials
100,TOOTSIE ROLL INDUSTRIES,TR,Consumer Staples
101,TRILLER GROUP,ILLR,Financials
102,TRISALUS LIFE SCIENCES,TLSI,Health Care
103,TSS,TSSI,Industrials
104,TVARDI THERAPEUTICS,TVRD,Health Care
105,UNITED SECURITY BANC,UBFO,Financials
106,US GOLD CORP,USAU,Basic Materials
107,VIKING HOLDINGS LTD,VIK,Consumer Discretionary
108,VROOM,VRM,Technology
109,VUZIX CORP,VUZI,Consumer Discretionary
110,WESTWOOD HOLDINGS GROUP,WHG,Financials
111,ZEVIA PBC,ZVIA,Consumer Staples
